,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
6,MANTA 1H,0:00,0.0,0.0,0.0,990.0,1150.0,shut in - frac,2019-03-25
7,REEF 3H,24:00:00,34.93,17.0,52.0,200.0,80.0,,2019-03-25
8,RIDGEBACK 1H,24:00:00,19.33,9.0,10.0,120.0,60.0,,2019-03-25
9,SEA WASP 2H,24:00:00,30.08,59.0,15.0,110.0,90.0,,2019-03-25
10,STINGRAY 2H,24:00:00,33.42,28.0,25.0,280.0,90.0,,2019-03-25
11,THORNY DEVIL 1H,24:00:00,33.23,31.0,60.0,250.0,720.0,,2019-03-25
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,140.0,310.0,shut in - frac,2019-03-25
13,THORNY DEVIL 3H,24:00:00,30.09,52.0,27.0,150.0,70.0,,2019-03-25
14,WOMBAT 2H,24:00:00,15.3,4.0,110.0,200.0,100.0,,2019-03-25
0,CROC 1H,24:00:00,33.28,16.0,27.0,240.0,70.0,,2019-03-24
1,GALAH 3H,24:00:00,0.0,4.0,145.0,200.0,50.0,,2019-03-24
2,GOANNA 1H,0:00,0.0,0.0,0.0,2750.0,1900.0,shut in - frac,2019-03-24
3,GREAT WHITE 1H,24:00:00,148.97,203.0,77.0,140.0,640.0,,2019-03-24
4,GREAT WHITE 2H,24:00:00,106.67,137.0,60.0,160.0,640.0,,2019-03-24
5,JAVELINA 1H,24:00:00,28.34,15.0,9.0,200.0,70.0,,2019-03-24
6,MANTA 1H,0:00,0.0,0.0,0.0,1000.0,1150.0,shut in - frac,2019-03-24
7,REEF 3H,24:00:00,28.28,17.0,45.0,200.0,80.0,,2019-03-24
8,RIDGEBACK 1H,24:00:00,21.73,9.0,7.0,120.0,60.0,,2019-03-24
9,SEA WASP 2H,24:00:00,23.39,69.0,16.67,110.0,80.0,,2019-03-24
10,STINGRAY 2H,24:00:00,38.44,27.0,27.0,280.0,90.0,,2019-03-24
11,THORNY DEVIL 1H,24:00:00,29.9,26.0,50.0,250.0,720.0,,2019-03-24
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,140.0,310.0,shut in - frac,2019-03-24
13,THORNY DEVIL 3H,24:00:00,26.75,52.0,23.0,150.0,70.0,,2019-03-24
14,WOMBAT 2H,24:00:00,18.38,5.0,120.0,200.0,100.0,,2019-03-24
0,CROC 1H,24:00:00,31.66,26.0,28.0,240.0,70.0,,2019-03-23
1,GALAH 3H,24:00:00,0.0,4.0,152.0,200.0,0.0,,2019-03-23
2,GOANNA 1H,0:00,0.0,0.0,0.0,2750.0,1850.0,shut in - frac,2019-03-23
3,GREAT WHITE 1H,24:00:00,148.47,197.0,73.0,140.0,640.0,,2019-03-23
4,GREAT WHITE 2H,24:00:00,108.68,131.0,52.0,150.0,640.0,,2019-03-23
5,JAVELINA 1H,24:00:00,33.34,15.0,13.0,200.0,70.0,,2019-03-23
6,MANTA 1H,0:00,0.0,0.0,0.0,1240.0,1320.0,shut in - frac,2019-03-23
7,REEF 3H,24:00:00,29.95,4.0,55.0,200.0,80.0,,2019-03-23
8,RIDGEBACK 1H,24:00:00,21.72,9.0,9.0,120.0,60.0,,2019-03-23
9,SEA WASP 2H,24:00:00,28.96,64.0,18.33,120.0,100.0,,2019-03-23
10,STINGRAY 2H,24:00:00,38.44,26.0,30.0,280.0,90.0,,2019-03-23
11,THORNY DEVIL 1H,24:00:00,39.52,47.0,60.0,220.0,720.0,,2019-03-23
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,100.0,310.0,shut in - frac,2019-03-23
13,THORNY DEVIL 3H,24:00:00,27.37,52.0,20.0,150.0,70.0,,2019-03-23
14,WOMBAT 2H,24:00:00,18.38,6.0,110.0,200.0,100.0,,2019-03-23
0,CROC 1H,24:00:00,25.65,24.0,22.0,240.0,70.0,,2019-03-22
1,GALAH 3H,24:00:00,0.0,4.0,150.0,200.0,0.0,,2019-03-22
2,GOANNA 1H,0:00,0.0,0.0,0.0,2750.0,1900.0,shut in - frac,2019-03-22
3,GREAT WHITE 1H,24:00:00,151.67,192.0,75.0,140.0,640.0,,2019-03-22
4,GREAT WHITE 2H,24:00:00,120.0,130.0,60.0,180.0,640.0,,2019-03-22
5,JAVELINA 1H,24:00:00,26.68,14.0,9.0,200.0,70.0,,2019-03-22
6,MANTA 1H,0:00,0.0,0.0,0.0,1240.0,1340.0,shut in - frac,2019-03-22
7,REEF 3H,24:00:00,28.28,17.0,80.0,200.0,80.0,,2019-03-22
8,RIDGEBACK 1H,24:00:00,23.39,8.0,2.0,120.0,60.0,,2019-03-22
9,SEA WASP 2H,24:00:00,30.07,67.0,21.67,120.0,110.0,,2019-03-22
10,STINGRAY 2H,24:00:00,35.09,27.0,32.0,280.0,90.0,,2019-03-22
11,THORNY DEVIL 1H,24:00:00,1.66,26.0,58.0,160.0,720.0,wireline on location,2019-03-22
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac / wireline on location,2019-03-22
13,THORNY DEVIL 3H,24:00:00,26.75,50.0,22.0,150.0,70.0,,2019-03-22
14,WOMBAT 2H,24:00:00,16.71,6.0,72.0,200.0,100.0,,2019-03-22
0,CROC 1H,24:00:00,39.82,21.0,23.0,240.0,70.0,,2019-03-21
1,GALAH 3H,24:00:00,0.0,4.0,155.0,200.0,0.0,,2019-03-21
2,GOANNA 1H,0:00,0.0,0.0,0.0,2750.0,1900.0,shut in- frac,2019-03-21
3,GREAT WHITE 1H,24:00:00,147.39,213.0,78.0,140.0,650.0,,2019-03-21
4,GREAT WHITE 2H,24:00:00,132.03,145.0,70.0,130.0,640.0,,2019-03-21
5,JAVELINA 1H,24:00:00,31.68,15.0,15.0,200.0,70.0,,2019-03-21
6,MANTA 1H,0:00,0.0,0.0,0.0,1240.0,1340.0,shut in - frac,2019-03-21
7,REEF 3H,24:00:00,18.94,17.0,58.0,200.0,80.0,,2019-03-21
8,RIDGEBACK 1H,24:00:00,23.44,7.0,10.0,120.0,60.0,,2019-03-21
9,SEA WASP 2H,24:00:00,33.41,69.0,18.33,120.0,110.0,,2019-03-21
10,STINGRAY 2H,24:00:00,31.17,27.0,30.0,280.0,90.0,,2019-03-21
11,THORNY DEVIL 1H,24:00:00,18.33,20.0,60.0,160.0,720.0,,2019-03-21
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac,2019-03-21
13,THORNY DEVIL 3H,24:00:00,21.74,53.0,22.0,150.0,70.0,,2019-03-21
14,WOMBAT 2H,24:00:00,18.38,6.0,94.0,200.0,100.0,,2019-03-21
0,CROC 1H,24:00:00,34.93,22.0,23.0,240.0,70.0,,2019-03-20
1,GALAH 3H,24:00:00,0.0,4.0,149.0,200.0,0.0,,2019-03-20
2,GOANNA 1H,0:00,0.0,0.0,0.0,2750.0,2000.0,shut in - frac,2019-03-20
3,GREAT WHITE 1H,24:00:00,140.0,203.0,97.0,130.0,650.0,,2019-03-20
4,GREAT WHITE 2H,24:00:00,135.0,137.0,72.0,110.0,640.0,,2019-03-20
5,JAVELINA 1H,24:00:00,31.68,17.0,11.0,200.0,70.0,,2019-03-20
6,MANTA 1H,0:00,0.0,0.0,0.0,1400.0,1500.0,shut in - frac,2019-03-20
7,REEF 3H,24:00:00,24.97,17.0,96.0,200.0,80.0,water rate high due to off set frac.,2019-03-20
8,RIDGEBACK 1H,24:00:00,21.71,7.0,8.0,120.0,60.0,Treated well,2019-03-20
9,SEA WASP 2H,24:00:00,33.41,59.0,20.0,120.0,110.0,,2019-03-20
10,STINGRAY 2H,24:00:00,28.44,27.0,30.0,280.0,90.0,,2019-03-20
11,THORNY DEVIL 1H,24:00:00,19.94,20.0,55.0,180.0,720.0,,2019-03-20
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac,2019-03-20
13,THORNY DEVIL 3H,24:00:00,28.42,53.0,20.0,150.0,70.0,,2019-03-20
14,WOMBAT 2H,24:00:00,11.7,5.0,93.0,200.0,100.0,high line pressure,2019-03-20
0,CROC 1H,24:00:00,36.74,25.0,13.0,240.0,70.0,,2019-03-19
1,GALAH 3H,24:00:00,0.0,4.0,148.0,200.0,0.0,,2019-03-19
2,GOANNA 1H,0:00,0.0,0.0,0.0,2850.0,2100.0,shut in - frac,2019-03-19
3,GREAT WHITE 1H,24:00:00,167.06,197.0,78.0,140.0,650.0,,2019-03-19
4,GREAT WHITE 2H,24:00:00,122.91,125.0,70.0,150.0,650.0,,2019-03-19
5,JAVELINA 1H,24:00:00,30.01,13.0,8.0,200.0,70.0,,2019-03-19
6,MANTA 1H,0:00,0.0,0.0,0.0,1600.0,1600.0,shut in - frac,2019-03-19
7,REEF 3H,24:00:00,23.29,4.0,60.0,200.0,80.0,,2019-03-19
8,RIDGEBACK 1H,24:00:00,20.04,7.0,7.0,120.0,0.0,,2019-03-19
9,SEA WASP 2H,24:00:00,30.08,67.0,18.33,120.0,110.0,,2019-03-19
10,STINGRAY 2H,24:00:00,33.43,27.0,30.0,280.0,90.0,,2019-03-19
11,THORNY DEVIL 1H,24:00:00,38.23,36.0,78.0,200.0,720.0,,2019-03-19
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac,2019-03-19
13,THORNY DEVIL 3H,24:00:00,23.4,43.0,20.0,150.0,70.0,high line pressure,2019-03-19
14,WOMBAT 2H,24:00:00,11.7,6.0,127.0,200.0,100.0,,2019-03-19
0,CROC 1H,24:00:00,30.05,23.0,22.0,240.0,70.0,,2019-03-18
1,GALAH 3H,24:00:00,0.0,4.0,150.0,200.0,0.0,,2019-03-18
2,GOANNA 1H,0:00,0.0,0.0,0.0,2850.0,2120.0,shut in - frac,2019-03-18
3,GREAT WHITE 1H,24:00:00,176.67,170.0,95.0,140.0,660.0,,2019-03-18
4,GREAT WHITE 2H,24:00:00,83.34,98.0,40.0,130.0,660.0,,2019-03-18
5,JAVELINA 1H,24:00:00,28.34,16.0,15.0,200.0,70.0,,2019-03-18
6,MANTA 1H,0:00,0.0,0.0,0.0,1640.0,1680.0,shut in - frac,2019-03-18
7,REEF 3H,24:00:00,26.61,17.0,63.0,200.0,80.0,,2019-03-18
8,RIDGEBACK 1H,24:00:00,23.38,7.0,10.0,120.0,0.0,,2019-03-18
9,SEA WASP 2H,24:00:00,30.07,65.0,20.0,100.0,90.0,,2019-03-18
10,STINGRAY 2H,24:00:00,35.11,27.0,33.0,280.0,90.0,,2019-03-18
11,THORNY DEVIL 1H,24:00:00,29.92,69.0,77.0,200.0,720.0,,2019-03-18
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac,2019-03-18
13,THORNY DEVIL 3H,24:00:00,25.06,50.0,18.0,150.0,70.0,,2019-03-18
14,WOMBAT 2H,24:00:00,0.01,4.0,125.0,200.0,100.0,,2019-03-18
0,CROC 1H,24:00:00,31.62,13.0,34.0,240.0,70.0,,2019-03-17
1,GALAH 3H,24:00:00,0.0,4.0,153.0,200.0,0.0,,2019-03-17
2,GOANNA 1H,0:00,0.0,0.0,0.0,2860.0,2160.0,shut in - frac,2019-03-17
3,GREAT WHITE 1H,24:00:00,180.5,165.0,78.0,130.0,660.0,,2019-03-17
4,GREAT WHITE 2H,24:00:00,79.79,94.0,10.0,210.0,660.0,,2019-03-17
5,JAVELINA 1H,24:00:00,27.13,16.0,8.0,200.0,70.0,,2019-03-17
6,MANTA 1H,0:00,0.0,0.0,0.0,1400.0,1480.0,shut in - frac,2019-03-17
7,REEF 3H,24:00:00,21.62,4.0,60.0,200.0,80.0,,2019-03-17
8,RIDGEBACK 1H,24:00:00,21.72,7.0,7.0,120.0,0.0,,2019-03-17
9,SEA WASP 2H,24:00:00,31.75,61.0,21.67,100.0,90.0,,2019-03-17
10,STINGRAY 2H,24:00:00,37.77,28.0,32.0,280.0,90.0,,2019-03-17
11,THORNY DEVIL 1H,24:00:00,16.62,16.0,53.0,240.0,730.0,,2019-03-17
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,380.0,310.0,shut in - frac,2019-03-17
13,THORNY DEVIL 3H,24:00:00,30.08,53.0,30.0,150.0,70.0,,2019-03-17
14,WOMBAT 2H,24:00:00,0.0,4.0,119.0,200.0,100.0,,2019-03-17
0,CROC 1H,24:00:00,29.96,26.0,36.0,240.0,70.0,,2019-03-16
1,GALAH 3H,24:00:00,0.0,4.0,147.0,200.0,0.0,,2019-03-16
2,GOANNA 1H,0:00,0.0,0.0,0.0,2860.0,2200.0,shut in - frac,2019-03-16
3,GREAT WHITE 1H,24:00:00,140.0,152.0,57.0,150.0,660.0,Comp. down 2H si 3Hrs,2019-03-16
4,GREAT WHITE 2H,20:00,101.67,96.0,10.0,250.0,660.0,"well si high and low sep press. serging to hard with plunger, ran choke in to 20 to help control serging issue",2019-03-16
5,JAVELINA 1H,24:00:00,30.02,18.0,10.0,200.0,70.0,,2019-03-16
6,MANTA 1H,0:00,0.0,0.0,0.0,1300.0,1410.0,shut in - frac,2019-03-16
7,REEF 3H,24:00:00,21.63,17.0,56.0,200.0,80.0,,2019-03-16
8,RIDGEBACK 1H,24:00:00,20.04,6.0,5.0,120.0,60.0,,2019-03-16
9,SEA WASP 2H,24:00:00,28.41,68.0,25.0,100.0,90.0,,2019-03-16
10,STINGRAY 2H,24:00:00,40.12,33.0,30.0,280.0,90.0,,2019-03-16
11,THORNY DEVIL 1H,24:00:00,13.3,42.0,60.0,190.0,700.0,,2019-03-16
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,370.0,320.0,shut in - frac,2019-03-16
13,THORNY DEVIL 3H,24:00:00,23.4,50.0,22.0,150.0,75.0,,2019-03-16
14,WOMBAT 2H,24:00:00,6.69,4.0,110.0,200.0,100.0,,2019-03-16
0,CROC 1H,24:00:00,31.62,21.0,9.0,240.0,70.0,,2019-03-15
1,GALAH 3H,24:00:00,0.0,4.0,105.0,200.0,0.0,,2019-03-15
2,GOANNA 1H,0:00,0.0,0.0,0.0,2800.0,2200.0,shut in - frac,2019-03-15
3,GREAT WHITE 1H,24:00:00,78.31,125.0,55.0,150.0,650.0,"compressor DOA, no Alarms BOL",2019-03-15
4,GREAT WHITE 2H,24:00:00,47.9,82.0,30.0,140.0,650.0,"compressor DOA, BOL",2019-03-15
5,JAVELINA 1H,24:00:00,35.03,4.0,7.0,200.0,70.0,,2019-03-15
6,MANTA 1H,0:00,0.0,0.0,0.0,1200.0,1320.0,shut in - frac,2019-03-15
7,REEF 3H,24:00:00,18.29,4.0,60.0,200.0,80.0,,2019-03-15
8,RIDGEBACK 1H,24:00:00,21.71,4.0,10.0,120.0,60.0,,2019-03-15
9,SEA WASP 2H,24:00:00,28.48,69.0,11.67,100.0,90.0,,2019-03-15
10,STINGRAY 2H,24:00:00,26.73,25.0,32.0,280.0,90.0,Hot Oil (3/15),2019-03-15
11,THORNY DEVIL 1H,24:00:00,16.62,35.0,67.0,180.0,700.0,,2019-03-15
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,340.0,320.0,shut in - frac,2019-03-15
13,THORNY DEVIL 3H,24:00:00,21.02,51.0,22.0,150.0,75.0,,2019-03-15
14,WOMBAT 2H,24:00:00,30.07,22.0,110.0,200.0,100.0,,2019-03-15
0,CROC 1H,24:00:00,29.94,18.0,41.0,240.0,70.0,,2019-03-14
1,GALAH 3H,24:00:00,0.0,4.0,162.0,200.0,0.0,,2019-03-14
2,GOANNA 1H,0:00,0.0,0.0,0.0,2800.0,2280.0,shut in - frac,2019-03-14
3,GREAT WHITE 1H,24:00:00,156.67,199.0,73.0,150.0,640.0,,2019-03-14
4,GREAT WHITE 2H,24:00:00,121.7,134.0,65.0,140.0,650.0,,2019-03-14
5,JAVELINA 1H,24:00:00,31.69,23.0,16.0,200.0,70.0,,2019-03-14
6,MANTA 1H,0:00,0.0,0.0,0.0,1050.0,1250.0,shut in - frac,2019-03-14
7,REEF 3H,24:00:00,23.29,4.0,58.0,200.0,80.0,,2019-03-14
8,RIDGEBACK 1H,24:00:00,21.71,7.0,7.0,120.0,60.0,,2019-03-14
9,SEA WASP 2H,24:00:00,28.3,76.0,25.0,80.0,70.0,,2019-03-14
10,STINGRAY 2H,24:00:00,36.73,25.0,30.0,280.0,90.0,,2019-03-14
11,THORNY DEVIL 1H,24:00:00,9.98,35.0,40.0,200.0,650.0,,2019-03-14
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,300.0,400.0,shut in - frac,2019-03-14
13,THORNY DEVIL 3H,24:00:00,23.4,54.0,23.0,150.0,75.0,,2019-03-14
14,WOMBAT 2H,24:00:00,0.01,4.0,120.0,200.0,100.0,,2019-03-14
0,CROC 1H,24:00:00,29.94,24.0,25.0,240.0,70.0,,2019-03-13
1,GALAH 3H,24:00:00,0.0,4.0,164.0,200.0,0.0,,2019-03-13
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,2200.0,shut in - frac,2019-03-13
3,GREAT WHITE 1H,24:00:00,150.22,206.0,92.0,140.0,650.0,,2019-03-13
4,GREAT WHITE 2H,24:00:00,126.67,131.0,85.0,150.0,670.0,plunger stuck downhole,2019-03-13
5,JAVELINA 1H,24:00:00,31.68,24.0,10.0,200.0,70.0,,2019-03-13
6,MANTA 1H,0:00,0.0,0.0,0.0,700.0,1000.0,shut in - frac,2019-03-13
7,REEF 3H,16:00,36.28,4.0,17.0,180.0,80.0,,2019-03-13
8,RIDGEBACK 1H,24:00:00,21.71,4.0,7.0,120.0,60.0,,2019-03-13
9,SEA WASP 2H,24:00:00,36.76,60.0,28.33,80.0,70.0,,2019-03-13
10,STINGRAY 2H,24:00:00,31.75,31.0,32.0,280.0,90.0,,2019-03-13
11,THORNY DEVIL 1H,24:00:00,8.31,38.0,25.0,250.0,650.0,,2019-03-13
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,300.0,400.0,shut in - frac,2019-03-13
13,THORNY DEVIL 3H,24:00:00,30.09,55.0,25.0,150.0,75.0,chem treated,2019-03-13
14,WOMBAT 2H,24:00:00,0.01,4.0,135.0,200.0,80.0,,2019-03-13
0,CROC 1H,24:00:00,36.59,23.0,38.0,240.0,70.0,,2019-03-12
1,GALAH 3H,24:00:00,0.0,4.0,175.0,200.0,0.0,,2019-03-12
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,2200.0,shut in - frac,2019-03-12
3,GREAT WHITE 1H,24:00:00,166.67,203.0,72.0,150.0,650.0,,2019-03-12
4,GREAT WHITE 2H,24:00:00,125.0,102.0,68.0,140.0,660.0,,2019-03-12
5,JAVELINA 1H,24:00:00,27.51,12.0,10.0,200.0,70.0,,2019-03-12
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,700.0,shut ini- frac,2019-03-12
7,REEF 3H,0:00,0.0,0.0,0.0,220.0,460.0,offset frac. turned unit back on at 01:30pm.,2019-03-12
8,RIDGEBACK 1H,24:00:00,23.42,7.0,10.0,120.0,60.0,,2019-03-12
9,SEA WASP 2H,24:00:00,28.41,77.0,25.0,80.0,70.0,,2019-03-12
10,STINGRAY 2H,24:00:00,31.75,25.0,35.0,280.0,90.0,,2019-03-12
11,THORNY DEVIL 1H,12:00,3.32,27.0,20.0,180.0,500.0,restarted compressor 10am,2019-03-12
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,300.0,400.0,shut in - frac,2019-03-12
13,THORNY DEVIL 3H,24:00:00,26.74,56.0,22.0,150.0,75.0,,2019-03-12
14,WOMBAT 2H,24:00:00,0.01,4.0,140.0,200.0,70.0,,2019-03-12
0,CROC 1H,24:00:00,23.29,16.0,38.0,240.0,70.0,,2019-03-11
1,GALAH 3H,24:00:00,1.67,4.0,165.0,200.0,0.0,,2019-03-11
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,2200.0,shut in - frac,2019-03-11
3,GREAT WHITE 1H,24:00:00,160.16,201.0,77.0,140.0,650.0,,2019-03-11
4,GREAT WHITE 2H,24:00:00,133.07,103.0,65.0,140.0,660.0,choke fully opened to 48,2019-03-11
5,JAVELINA 1H,24:00:00,30.01,16.0,10.0,200.0,70.0,,2019-03-11
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,550.0,shut in - frac,2019-03-11
7,REEF 3H,0:00,0.0,4.0,0.0,220.0,460.0,offset frac,2019-03-11
8,RIDGEBACK 1H,24:00:00,21.56,6.0,8.0,120.0,60.0,,2019-03-11
9,SEA WASP 2H,24:00:00,31.74,71.0,30.0,80.0,70.0,,2019-03-11
10,STINGRAY 2H,24:00:00,38.7,24.0,32.0,280.0,90.0,,2019-03-11
11,THORNY DEVIL 1H,24:00:00,16.66,30.0,80.0,180.0,600.0,,2019-03-11
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,180.0,400.0,shut in - frac,2019-03-11
13,THORNY DEVIL 3H,24:00:00,23.4,56.0,22.0,150.0,75.0,,2019-03-11
14,WOMBAT 2H,24:00:00,5.02,4.0,134.0,200.0,30.0,,2019-03-11
0,CROC 1H,24:00:00,34.95,29.0,17.0,240.0,70.0,,2019-03-10
1,GALAH 3H,24:00:00,5.01,4.0,149.0,200.0,0.0,,2019-03-10
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,200.0,shut in - frac,2019-03-10
3,GREAT WHITE 1H,24:00:00,168.53,196.0,96.0,140.0,640.0,,2019-03-10
4,GREAT WHITE 2H,24:00:00,135.98,101.0,104.0,140.0,670.0,,2019-03-10
5,JAVELINA 1H,24:00:00,26.67,15.0,8.0,200.0,70.0,,2019-03-10
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,280.0,shut in -frac,2019-03-10
7,REEF 3H,0:00,0.0,0.0,0.0,220.0,460.0,off set frac,2019-03-10
8,RIDGEBACK 1H,24:00:00,20.04,2.0,10.0,120.0,60.0,,2019-03-10
9,SEA WASP 2H,24:00:00,28.41,86.0,25.0,90.0,80.0,,2019-03-10
10,STINGRAY 2H,24:00:00,34.26,30.0,38.0,280.0,90.0,,2019-03-10
11,THORNY DEVIL 1H,24:00:00,-0.01,20.0,10.0,180.0,600.0,,2019-03-10
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,180.0,300.0,shut in - frac,2019-03-10
13,THORNY DEVIL 3H,24:00:00,28.42,52.0,25.0,150.0,75.0,,2019-03-10
14,WOMBAT 2H,24:00:00,1.68,4.0,130.0,220.0,80.0,doa - low sep pressure,2019-03-10
0,CROC 1H,24:00:00,32.72,24.0,36.0,240.0,70.0,,2019-03-09
1,GALAH 3H,24:00:00,13.36,4.0,140.0,220.0,80.0,,2019-03-09
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,1800.0,shut in - frac,2019-03-09
3,GREAT WHITE 1H,24:00:00,151.43,191.0,63.0,140.0,650.0,,2019-03-09
4,GREAT WHITE 2H,24:00:00,149.77,104.0,60.0,150.0,680.0,,2019-03-09
5,JAVELINA 1H,24:00:00,23.37,16.0,11.0,200.0,70.0,,2019-03-09
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,250.0,shut in - frac,2019-03-09
7,REEF 3H,0:00,0.0,0.0,0.0,200.0,460.0,off set frac,2019-03-09
8,RIDGEBACK 1H,24:00:00,25.05,7.0,8.0,120.0,60.0,,2019-03-09
9,SEA WASP 2H,24:00:00,31.84,86.0,28.33,90.0,80.0,,2019-03-09
10,STINGRAY 2H,24:00:00,30.09,27.0,30.0,280.0,90.0,,2019-03-09
11,THORNY DEVIL 1H,24:00:00,18.34,29.0,23.0,200.0,540.0,,2019-03-09
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,180.0,300.0,shut in - frac,2019-03-09
13,THORNY DEVIL 3H,24:00:00,26.75,48.0,18.0,150.0,75.0,,2019-03-09
14,WOMBAT 2H,24:00:00,25.06,4.0,114.0,220.0,80.0,,2019-03-09
0,CROC 1H,24:00:00,26.61,24.0,30.0,240.0,70.0,,2019-03-08
1,GALAH 3H,0:00,0.0,0.0,0.0,140.0,80.0,restarted unit,2019-03-08
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,1770.0,shut iin - frac,2019-03-08
3,GREAT WHITE 1H,24:00:00,188.34,152.0,112.0,160.0,650.0,"compressor was Down for 2hrs dew to 2H si, BOL",2019-03-08
4,GREAT WHITE 2H,22:00,58.34,74.0,35.0,200.0,760.0,well si low sep press. BOL,2019-03-08
5,JAVELINA 1H,24:00:00,31.69,18.0,11.0,200.0,70.0,,2019-03-08
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,250.0,shut in - frac,2019-03-08
7,REEF 3H,0:00,0.0,0.0,0.0,200.0,460.0,off set frac,2019-03-08
8,RIDGEBACK 1H,24:00:00,20.04,3.7,13.0,120.0,60.0,,2019-03-08
9,SEA WASP 2H,24:00:00,27.49,84.0,35.0,90.0,80.0,,2019-03-08
10,STINGRAY 2H,24:00:00,38.45,24.0,30.0,280.0,90.0,,2019-03-08
11,THORNY DEVIL 1H,0:00,0.0,0.0,0.0,300.0,600.0,restarted compressor,2019-03-08
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,180.0,300.0,shut in - frac,2019-03-08
13,THORNY DEVIL 3H,24:00:00,28.42,4.0,23.0,150.0,75.0,,2019-03-08
14,WOMBAT 2H,24:00:00,28.4,4.0,125.0,220.0,80.0,,2019-03-08
0,CROC 1H,16:00,19.96,16.0,20.0,240.0,70.0,Production low due to well not being brought back online until 3pm,2019-03-07
1,GALAH 3H,0:00,0.0,0.0,0.0,140.0,80.0,shut in - frac,2019-03-07
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,1770.0,shut in - frac,2019-03-07
3,GREAT WHITE 1H,24:00:00,187.36,170.0,30.0,180.0,660.0,pulled water for hot oil on Leopard 3H,2019-03-07
4,GREAT WHITE 2H,24:00:00,97.3,96.0,35.0,180.0,690.0,well si low sep. press. BOL,2019-03-07
5,JAVELINA 1H,24:00:00,28.35,19.0,13.0,200.0,70.0,Treated well,2019-03-07
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,250.0,shut in - frac,2019-03-07
7,REEF 3H,0:00,0.0,0.0,0.0,200.0,460.0,offset frac,2019-03-07
8,RIDGEBACK 1H,24:00:00,23.38,3.9,7.0,120.0,60.0,,2019-03-07
9,SEA WASP 2H,24:00:00,31.75,88.0,33.34,90.0,80.0,,2019-03-07
10,STINGRAY 2H,24:00:00,38.08,27.0,32.0,280.0,90.0,,2019-03-07
11,THORNY DEVIL 1H,0:00,0.0,0.0,0.0,300.0,250.0,shut in - frac,2019-03-07
12,THORNY DEVIL 2H,0:00,0.0,0.0,0.0,180.0,300.0,shut in -frac,2019-03-07
13,THORNY DEVIL 3H,24:00:00,30.1,49.0,30.0,150.0,75.0,,2019-03-07
14,WOMBAT 2H,24:00:00,0.01,4.0,125.0,220.0,80.0,,2019-03-07
0,CROC 1H,15:00,18.29,23.0,9.0,240.0,70.0,Safety system supply froze off causing electrical safety system to trip,2019-03-06
1,GALAH 3H,0:00,0.0,0.0,0.0,140.0,80.0,shut in- frac,2019-03-06
2,GOANNA 1H,0:00,0.0,0.0,0.0,2700.0,1950.0,shut in - frac,2019-03-06
3,GREAT WHITE 1H,24:00:00,106.67,120.0,49.0,180.0,700.0,,2019-03-06
4,GREAT WHITE 2H,24:00:00,90.0,63.0,53.0,160.0,680.0,,2019-03-06
5,JAVELINA 1H,24:00:00,31.68,19.0,11.0,200.0,70.0,,2019-03-06
6,MANTA 1H,0:00,0.0,0.0,0.0,60.0,250.0,shut in - frac,2019-03-06
7,REEF 3H,0:00,0.0,0.0,0.0,200.0,460.0,offset frac,2019-03-06
8,RIDGEBACK 1H,24:00:00,25.08,5.0,10.0,120.0,60.0,Treated well,2019-03-06
