,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
5,JAVELINA 1H,24:00,23.34,15.0,13.33,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-24
6,MANTA 1H,24:00,38.35,35.47,14.65,200.0,80.0,,2021-02-24
7,REEF 3H,24:00,37.01,39.49,18.75,200.0,70.0,6.5spm,2021-02-24
8,RIDGEBACK 1H,24:00,20.05,11.0,0.0,120.0,80.0,,2021-02-24
9,SEA WASP 2H,24:00,3.35,18.88,0.0,100.0,80.0,,2021-02-24
10,STINGRAY 2H,24:00,35.11,21.0,8.34,200.0,100.0,"12hrs on/12hrs off, 6.6spm",2021-02-24
11,THORNY DEVIL 1H,24:00,61.51,118.67,28.33,180.0,100.0,chemical treat,2021-02-24
12,THORNY DEVIL 2H,24:00,61.44,139.63,35.0,180.0,100.0,chemical treat,2021-02-24
13,THORNY DEVIL 3H,24:00,30.08,78.53,0.0,180.0,80.0,chemical treat,2021-02-24
14,WOMBAT 2H,24:00,33.4,38.0,6.66,140.0,90.0,,2021-02-24
0,CROC 1H,24:00,9.65,10.65,5.42,200.0,70.0,"12on/12off, 6.5spm",2021-02-23
1,GALAH 3H,24:00,55.57,47.19,7.91,150.0,80.0,,2021-02-23
2,GOANNA 1H,0:00,0.4,0.0,0.0,50.0,15.0,down hole failure,2021-02-23
3,GREAT WHITE 1H,24:00,100.0,106.0,39.67,125.0,90.0,,2021-02-23
4,GREAT WHITE 2H,24:00,53.32,61.0,27.0,125.0,90.0,,2021-02-23
5,JAVELINA 1H,24:00,33.34,13.0,1.67,130.0,80.0,"12hrs on/12hrs off, 7.3spm",2021-02-23
6,MANTA 1H,24:00,44.63,49.56,25.8,200.0,80.0,,2021-02-23
7,REEF 3H,24:00,46.57,41.22,10.41,200.0,70.0,6.5spm,2021-02-23
8,RIDGEBACK 1H,24:00,28.41,14.0,0.0,120.0,80.0,,2021-02-23
9,SEA WASP 2H,24:00,11.28,51.47,5.0,120.0,80.0,,2021-02-23
10,STINGRAY 2H,24:00,13.37,0.0,0.0,200.0,100.0,,2021-02-23
11,THORNY DEVIL 1H,24:00,63.6,132.34,22.92,180.0,100.0,,2021-02-23
12,THORNY DEVIL 2H,24:00,61.87,165.47,31.26,180.0,100.0,,2021-02-23
13,THORNY DEVIL 3H,24:00,23.4,78.67,1.26,180.0,80.0,,2021-02-23
14,WOMBAT 2H,24:00,26.72,76.0,25.0,140.0,90.0,,2021-02-23
0,CROC 1H,24:00,33.29,13.56,9.16,200.0,70.0,"12on/12off, 6.5spm",2021-02-22
1,GALAH 3H,24:00,61.01,47.93,6.67,150.0,80.0,,2021-02-22
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-22
3,GREAT WHITE 1H,24:00,100.0,130.94,40.0,125.0,90.0,,2021-02-22
4,GREAT WHITE 2H,24:00,83.62,90.23,40.0,125.0,90.0,,2021-02-22
5,JAVELINA 1H,24:00,21.68,17.72,5.0,130.0,80.0,,2021-02-22
6,MANTA 1H,24:00,62.76,72.23,32.09,200.0,80.0,,2021-02-22
7,REEF 3H,24:00,43.65,14.14,0.42,200.0,70.0,6.5spm,2021-02-22
8,RIDGEBACK 1H,24:00,25.07,14.19,1.67,120.0,80.0,,2021-02-22
9,SEA WASP 2H,24:00,27.98,85.87,6.25,120.0,80.0,,2021-02-22
10,STINGRAY 2H,24:00,9.98,5.53,8.33,200.0,100.0,,2021-02-22
11,THORNY DEVIL 1H,24:00,89.24,130.08,1.67,180.0,100.0,,2021-02-22
12,THORNY DEVIL 2H,24:00,83.87,169.35,13.33,180.0,100.0,,2021-02-22
13,THORNY DEVIL 3H,24:00,26.32,77.41,0.41,100.0,80.0,,2021-02-22
14,WOMBAT 2H,24:00,18.37,5.48,38.34,140.0,90.0,,2021-02-22
0,CROC 1H,24:00,19.96,12.44,3.75,200.0,70.0,"12on/12off, 6.5spm",2021-02-21
1,GALAH 3H,24:00,40.5,46.09,23.75,150.0,80.0,,2021-02-21
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-21
3,GREAT WHITE 1H,24:00,118.34,83.86,15.0,125.0,90.0,,2021-02-21
4,GREAT WHITE 2H,24:00,126.67,74.06,15.0,125.0,90.0,,2021-02-21
5,JAVELINA 1H,24:00,61.71,38.77,19.0,130.0,80.0,,2021-02-21
6,MANTA 1H,24:00,50.51,38.49,12.59,200.0,80.0,,2021-02-21
7,REEF 3H,24:00,42.66,18.8,3.33,200.0,70.0,,2021-02-21
8,RIDGEBACK 1H,24:00,16.71,11.38,28.33,120.0,80.0,,2021-02-21
9,SEA WASP 2H,12:00,15.46,35.03,0.0,120.0,80.0,Hotoiled flowline,2021-02-21
10,STINGRAY 2H,24:00,60.17,43.15,15.0,200.0,100.0,,2021-02-21
11,THORNY DEVIL 1H,12:00,34.08,62.27,13.33,100.0,100.0,Hotoiled flowline,2021-02-21
12,THORNY DEVIL 2H,12:00,37.37,90.18,6.67,180.0,100.0,Hotoiled flowline,2021-02-21
13,THORNY DEVIL 3H,12:00,20.05,50.84,0.84,100.0,80.0,Hotoiled flowline,2021-02-21
14,WOMBAT 2H,0:00,0.0,0.18,0.0,140.0,90.0,BOL,2021-02-21
0,CROC 1H,0:00,19.96,4.48,10.0,200.0,70.0,"12on/12off, 6.5spm",2021-02-20
1,GALAH 3H,24:00,45.32,50.18,24.17,150.0,80.0,,2021-02-20
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,down hole failure,2021-02-20
3,GREAT WHITE 1H,0:00,0.0,16.46,0.0,125.0,90.0,,2021-02-20
4,GREAT WHITE 2H,0:00,0.0,17.06,0.0,125.0,90.0,,2021-02-20
5,JAVELINA 1H,0:00,0.0,0.4,0.0,130.0,80.0,,2021-02-20
6,MANTA 1H,0:00,0.0,0.66,0.0,200.0,80.0,BOL,2021-02-20
7,REEF 3H,24:00,30.78,21.1,12.5,200.0,70.0,Unit down due to freezing conditions,2021-02-20
8,RIDGEBACK 1H,0:00,0.0,0.0,0.0,120.0,80.0,,2021-02-20
9,SEA WASP 2H,0:00,0.84,2.5,3.75,80.0,80.0,,2021-02-20
10,STINGRAY 2H,24:00,18.39,0.0,20.0,200.0,100.0,,2021-02-20
11,THORNY DEVIL 1H,0:00,0.0,0.0,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-20
12,THORNY DEVIL 2H,0:00,0.0,63.86,0.0,100.0,100.0,shut down due to weather heater treater dumps plugged,2021-02-20
13,THORNY DEVIL 3H,0:00,0.0,32.93,0.0,80.0,80.0,shut down due to weather heater treater dumps plugged,2021-02-20
14,WOMBAT 2H,0:00,0.0,0.0,0.0,140.0,90.0,,2021-02-20
0,CROC 1H,0:00,0.0,0.0,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-19
1,GALAH 3H,24:00,54.28,48.9,18.33,150.0,80.0,,2021-02-19
2,GOANNA 1H,0:00,0.0,0.0,0.0,50.0,15.0,,2021-02-19
3,GREAT WHITE 1H,0:00,0.0,20.29,0.0,125.0,90.0,,2021-02-19
4,GREAT WHITE 2H,0:00,0.0,17.36,0.0,125.0,90.0,,2021-02-19
5,JAVELINA 1H,0:00,0.0,0.0,0.0,130.0,80.0,,2021-02-19
6,MANTA 1H,0:00,0.0,0.0,0.0,200.0,80.0,Unit down due to weather conditions,2021-02-19
7,REEF 3H,0:00,0.0,0.21,0.0,200.0,70.0,Unit down due to freezing conditions,2021-02-19
8,RIDGEBACK 1H,0:00,0.0,0.0,0.0,120.0,80.0,,2021-02-19
